setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
26564,10737,1,Juniors,DC Comics Super Heroes,2017,Batman vs. Mr. Freeze,63.0,14.99,https://images.brickset.com/sets/images/10737-1.jpg,1779,413,2.0,Battle Mr. Freeze™ with Batman™ and his Batboat on the Gotham City Sea!,Easy,Batman™ vs. Mr. Freeze™,4.5
27538,41487,1,BrickHeadz,Ninjago,2017,Lloyd,102.0,9.99,https://images.brickset.com/sets/images/41487-1.jpg,2200,574,7.0,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,Easy,Lloyd,5.0
27539,41488,1,BrickHeadz,Ninjago,2017,Master Wu,89.0,9.99,https://images.brickset.com/sets/images/41488-1.jpg,2330,542,5.0,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,Very Easy,Master Wu,4.4
27592,41485,1,BrickHeadz,Star Wars,2017,Finn,91.0,9.99,https://images.brickset.com/sets/images/41485-1.jpg,2969,735,2.0,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,Easy,Finn,4.5
27618,10256,1,Creator Expert,Buildings,2017,Taj Mahal,5923.0,369.99,https://images.brickset.com/sets/images/10256-1.jpg,2427,1881,43.0,Discover the architectural wonder of the Taj Mahal!,Challenging,Taj Mahal,4.8
24893,10823,1,Duplo,Not Available,2017,Batwing Adventure,28.0,29.99,https://images.brickset.com/sets/images/10823-1.jpg,304,111,3.0,Help Batman™ use the Batwing to retrieve the stolen treasure back from The Penguin!,Average,Batwing Adventure,4.3
24930,70615,1,The LEGO Ninjago Movie,Not Available,2017,Fire Mech,944.0,69.99,https://images.brickset.com/sets/images/70615-1.jpg,3286,996,19.0,Put the heat on the shark army with Kai’s Fire Mech!,Average,Fire Mech,4.2
24928,70613,1,The LEGO Ninjago Movie,Not Available,2017,Garma Mecha Man,747.0,59.99,https://images.brickset.com/sets/images/70613-1.jpg,1727,869,8.0,Defend NINJAGO® City against Garma Mecha Man!,Average,Garma Mecha Man,4.5
26539,70350,1,Nexo Knights,Season 3,2017,The Three Brothers,266.0,29.99,https://images.brickset.com/sets/images/70350-1.jpg,1146,387,1.0,Charge Axl into battle against the three fearsome brothers!,Average,The Three Brothers,4.0
26509,42064,1,Technic,Not Available,2017,Ocean Explorer,1327.0,119.99,https://images.brickset.com/sets/images/42064-1.jpg,2273,1611,14.0,Discover new horizons with the Ocean Explorer!,Challenging,Ocean Explorer,4.6
26544,60143,1,City,Police,2017,Auto Transport Heist,403.0,49.99,https://images.brickset.com/sets/images/60143-1.jpg,686,1243,2.0,Stop the crooks from stealing their car again!,Not Available,Auto Transport Heist,4.0
26542,60139,1,City,Police,2017,Mobile Command Center,374.0,49.99,https://images.brickset.com/sets/images/60139-1.jpg,2498,790,10.0,Stop the crooks before they escape from the mobile jail!,Easy,Mobile Command Center,4.0
26479,70352,1,Nexo Knights,Season 3,2017,Jestro's Headquarters,840.0,89.99,https://images.brickset.com/sets/images/70352-1.jpg,835,435,3.0,Help the heroic knights rescue Ava from Jestro’s head-shaped HQ!,Average,Jestro's Headquarters,5.0
