prod_id,num_reviews,piece_count,prod_desc,review_difficulty,difficulty,set_name,star_rating,theme_name,Image,Year,Price
31071,1,109,Be an eye in the sky with the 3-in-1 Drone Explorer!,Average,3,High-speed Passenger Train,4.4,City,https://images.brickset.com/sets/images/60051-1.jpg,2014,149.99
31046,8,222,Get ready for the ultra-cool 3-in-1 Fast Car!,Average,3,Jungle Air Drop Helicopter,5,City,https://images.brickset.com/sets/images/60162-1.jpg,2017,149.99
31051,15,528,Meet the wildlife at the brightly lit Lighthouse Point!,Average,3,Coast Guard Head Quarters,3.7,City,https://images.brickset.com/sets/images/60167-1.jpg,2017,119.99
31064,2,359,Fly to warmer climes for 3-in-1 Island Adventures!,Average,3,Jungle Exploration Site,4.3,City,https://images.brickset.com/sets/images/60161-1.jpg,2017,119.99
31063,5,275,Enjoy the beach life with the 3-in-1 Beachside Vacation!,Average,3,Police Station,4.7,City,https://images.brickset.com/sets/images/60141-1.jpg,2017,99.99
31047,7,230,Take a flight in the cool 3-in-1 Propeller Plane!,Average,3,Mining Experts Site,5,City,https://images.brickset.com/sets/images/60188-1.jpg,2018,99.99
31029,4,132,Airlift vital supplies with the awesome 3-in-1 Cargo Heli!,Average,3,Fire Station,4.6,City,https://images.brickset.com/sets/images/60110-1.jpg,2016,99.99
10259,51,902,Head home for the holidays with the Winter Village Station!,Average,3,Mountain Police Headquarters,4.6,City,https://images.brickset.com/sets/images/60174-1.jpg,2018,89.99
10258,53,1686,All aboard the London Bus!,Average,3,Cargo Terminal,5,City,https://images.brickset.com/sets/images/60169-1.jpg,2017,79.99
10252,66,1167,Head for the beach with the VW Beetle!,Average,3,Bulldozer Break-in,3.3,City,https://images.brickset.com/sets/images/60140-1.jpg,2017,69.99
10242,134,1077,Take this MINI Cooper for a nostalgic drive down memory lane!,Average,3,Jungle Mobile Lab,5,City,https://images.brickset.com/sets/images/60160-1.jpg,2017,59.99
10254,77,734,Climb aboard the magical Winter Holiday Train!,Average,3,Mountain Arrest,4,City,https://images.brickset.com/sets/images/60173-1.jpg,2018,59.99
76087,13,955,Unleash the Batmobile from The Flying Fox!,Average,3,Heavy-duty Rescue Helicopter,4.4,City,https://images.brickset.com/sets/images/60166-1.jpg,2017,59.99
71171,6,267,"With LEGO® Dimensions™, you're gonna need a bigger imagination!",Average,3,Bus Station,3.3,City,https://images.brickset.com/sets/images/60154-1.jpg,2017,49.99
70923,9,643,Launch a space mission from the Batcave!,Average,3,People pack – Fun at the beach,4.1,City,https://images.brickset.com/sets/images/60153-1.jpg,2017,39.99
70921,5,425,Dodge Harley Quinn’s cannonball attacks!,Average,3,High-speed Chase,4.2,City,https://images.brickset.com/sets/images/60138-1.jpg,2017,39.99
76097,5,406,Power up for battle against the Lex Luthor™ Mech!,Average,3,4 x 4 Response Unit,5,City,https://images.brickset.com/sets/images/60165-1.jpg,2017,39.99
70920,11,293,Join Batman™ in a comical food fight!,Average,3,Jungle Halftrack Mission,4.8,City,https://images.brickset.com/sets/images/60159-1.jpg,2017,39.99
76096,1,199,Help Superman™ bust out of the Kryptonite prison!,Average,3,Fire Response Unit,3.9,City,https://images.brickset.com/sets/images/60108-1.jpg,2016,39.99
41233,2,145,Rescue Krypto™ from Lashina’s clutches!,Average,3,Pickup & Caravan,5,City,https://images.brickset.com/sets/images/60182-1.jpg,2018,29.99
76052,47,2526,Drive the villains out from Batman's Batcave!,Average,3,Heavy Cargo Transport,4.7,City,https://images.brickset.com/sets/images/60183-1.jpg,2018,29.99
76055,11,759,Bite back against Killer Croc™ with the Bat-Tank!,Average,3,Fire Ladder Truck,4.5,City,https://images.brickset.com/sets/images/60107-1.jpg,2016,24.99
76045,18,306,Intercept the Kryptonite with the armored Batmobile!,Average,3,Monster Truck,5,City,https://images.brickset.com/sets/images/60180-1.jpg,2018,19.99
41234,2,142,Keep the crystals from the evil Kryptomites!,Average,3,Pizza Van,4.9,City,https://images.brickset.com/sets/images/60150-1.jpg,2017,19.99
41233,2,145,Rescue Krypto™ from Lashina’s clutches!,Average,3,Flexible and Straight Tracks,2.5,City,https://images.brickset.com/sets/images/7499-1.jpg,2011,19.99
41234,2,142,Keep the crystals from the evil Kryptomites!,Average,3,ATV Race Team,4.8,City,https://images.brickset.com/sets/images/60148-1.jpg,2017,19.99
