num_reviews,piece_count,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name
10.0,169,Pack your city with a bunch of new people!,60153,Very Easy,People pack – Fun at the beach,4.1,City
14.0,294,Help Chase McCain and the police nab the crook!,60138,Average,High-speed Chase,4.2,City
2.0,347,Race to the rescue on land and sea!,60165,Very Easy,4 x 4 Response Unit,5.0,City
5.0,378,Defend the mission and dodge a surprise in the jungle!,60159,Easy,Jungle Halftrack Mission,4.8,City
8.0,257,Call the Fire Response Unit for help!,60108,Average,Fire Response Unit,3.9,City
7.0,344,"Load up the Pickup & Caravan, it’s time for a vacation!",60182,Easy,Pickup & Caravan,5.0,City
7.0,310,Haul in the helicopter to handle the heavy lifting!,60183,Easy,Heavy Cargo Transport,4.7,City
11.0,214,Put out the burning oil barrel!,60107,Easy,Fire Ladder Truck,4.5,City
4.0,192,Jump the fire and give the crowd a thrilling show!,60180,Average,Monster Truck,5.0,City
35.0,249,Order a pizza to go!,60150,Easy,Pizza Van,4.9,City
89.0,24,Get killer curves in your tracks!,7499,Easy,Flexible and Straight Tracks,2.5,City
12.0,239,Gear up for the big race!,60148,Easy,ATV Race Team,4.8,City
6.0,190,Transport the mountain snowboarder to the hospital!,60179,Easy,Ambulance Helicopter,3.8,City
7.0,174,Load the freshly cut logs with the awesome Forest Tractor!,60181,Easy,Forest Tractor,4.4,City
8.0,144,Catch the crook before he tows the safe away!,60137,Easy,Tow Truck Trouble,4.3,City
1.0,126,Speed after the crook on an exciting river chase!,60176,Easy,Wild River Escape,5.0,City
1.0,127,Break up the rocks and discover the treasure inside!,60185,Easy,Mining Power Splitter,5.0,City
3.0,141,Fly in and save the stranded sailor before he floats away!,60164,Easy,Sea Rescue Plane,4.3,City
5.0,201,Fly into the jungle and explore the hidden temple!,60158,Average,Jungle Cargo Helicopter,4.4,City
47.0,8,"Switch tracks – build a bigger, more exciting railway track.",7895,Very Easy,Switching Tracks,4.1,City
85.0,2,Add roads to your LEGO® town!,7280,Very Easy,Straight & Crossroad Plates,3.5,City
40.0,2,Roads for your LEGO® layout!,7281,Very Easy,T-Junction & Curved Road Plates,3.9,City
2.0,87,Wow the crowds in the sleek Airshow Jet!,60177,Easy,Airshow Jet,4.5,City
12.0,88,Cruise into the jungle and make a big discovery!,60157,Easy,Jungle Starter Set,4.9,City
4.0,76,Rescue the surfer and be a coast guard hero!,60163,Very Easy,Coast Guard Starter Set,5.0,City
2.0,88,Arrest the crooks and recover the hidden loot!,60171,Not Available,Mountain Fugitives,5.0,City
2.0,82,Blow up the rock pile and discover gold!,60184,Very Easy,Mining Team,5.0,City
1.0,78,Climb in the cockpit and set a new speed record!,60178,Easy,Speed Record Car,5.0,City
2.0,37,Catch the crook before he escapes with the loot!,60170,Very Easy,Off-Road Chase,4.5,City
5.0,53,Explore the depths of the jungle and find something amazing!,60156,Easy,Jungle Buggy,3.6,City
30.0,157,Fill up your city with people!,60134,Very Easy,Fun in the park - City People Pack,4.6,City
5.0,1277,Help out the volcano explorers and bring in the big equipment!,60125,Average,Volcano Heavy-lift Helicopter,4.6,City
9.0,824,Get busy with some serious scientific work!,60124,Average,Volcano Exploration Base,4.6,City
2.0,412,Save the lighthouse and rescue the keeper with the Fire Boat!,60109,Easy,Fire Boat,4.5,City
2.0,403,Stop the crooks from stealing their car again!,60143,Not Available,Auto Transport Heist,4.0,City
5.0,200,Keep the crook from escaping his boat ride to prison!,60129,Easy,Police Patrol Boat,3.2,City
3.0,330,Fly in the exploration gear and fly out the crystals!,60123,Easy,Volcano Supply Helicopter,4.3,City
4.0,324,Bring out the heavy machinery to do exploring right!,60122,Average,Volcano Crawler,5.0,City
14.0,301,Take the Ferry to your next adventure!,60119,Easy,Ferry,4.2,City
8.0,248,Celebrate 24 fun days with the LEGO® City Advent Calendar!,60155,Easy,LEGO® City Advent Calendar,3.8,City
13.0,157,Load up the Cargo Plane and get ready to fly!,60101,Easy,Airport Cargo Plane,4.6,City
6.0,175,Head off-road and make the big discoveries!,60121,Easy,Volcano Exploration Truck,4.8,City
35.0,250,Pack up the gear; it’s time to go camping!,60117,Easy,Van & Caravan,4.6,City
7.0,138,Catch the crook before she gets away with the safe!,60142,Easy,Money Transporter,4.4,City
8.0,80,Stop the crooks before they empty the ATM!,60136,Easy,Police Starter Set,4.6,City
8.0,91,Strap in and jump some ramps!,60146,Easy,Stunt Truck,4.8,City
7.0,81,Start your engine and race through the dunes!,60145,Very Easy,Buggy,4.9,City
7.0,83,Explore the volcano and make an exciting discovery!,60120,Easy,Volcano Starter Set,4.3,City
10.0,81,Help get LEGO® City's mail on the helicopter!,60100,Very Easy,Airport Starter Set,4.9,City
11.0,90,Save the dockworker and put out the blaze!,60106,Easy,Fire Starter Set,4.1,City
5.0,47,Chase down the crook with the ATV!,60135,Very Easy,ATV Arrest,4.4,City
4.0,790,"Create all kinds of buildings with LEGO® bricks, windows and doors!",10698,Easy,LEGO® Large Creative Brick Box,5.0,Classic
11.0,484,Create your own LEGO® vehicles with LEGO Classic!,10696,Easy,LEGO® Medium Creative Brick Box,4.6,Classic
2.0,213,Bring along a world of creativity in your own LEGO® Creative Suitcase!,10713,Very Easy,Creative Suitcase,5.0,Classic
8.0,303,"Get ideas, get creative and get building!",10693,Easy,LEGO® Creative Supplement,4.9,Classic
7.0,221,Get creative with classic LEGO® bricks in 29 different colors!,10692,Easy,LEGO® Creative Bricks,4.1,Classic
24.0,1,Add another useful piece to your LEGO® collection with this Gray Baseplate!,10701,Very Easy,Gray Baseplate,4.1,Classic
6.0,1,Create your own world on a Blue LEGO® Baseplate!,10714,Very Easy,Blue Baseplate,4.7,Classic
46.0,1,Add another useful piece to your LEGO® collection with this Bright Green Baseplate!,10700,Very Easy,Green Baseplate,2.6,Classic
8.0,78,Unleash your imagination with the LEGO® Blue Creativity Box!,10706,Very Easy,Blue Creativity Box,4.8,Classic
5.0,66,Unleash your imagination with the LEGO® Green Creativity Box!,10708,Easy,Green Creativity Box,4.8,Classic
4.0,55,Unleash your imagination with the LEGO® Red Creativity Box!,10707,Average,Red Creativity Box,4.5,Classic
3.0,60,Unleash your imagination with the LEGO® Orange Creativity Box!,10709,Easy,Orange Creativity Box,4.7,Classic
180.0,1,Everyone needs one!,630,Very Easy,Brick Separator,4.8,Classic
6.0,303,Build whatever your heart desires with LEGO® bricks in 20 different bright colors!,10694,Easy,LEGO® Creative Supplement Bright,4.5,Classic
24.0,1,Add another useful piece to your LEGO® collection with this Sand Baseplate!,10699,Very Easy,Sand Baseplate,3.6,Classic
11.0,728,Build and enjoy the delightful 3-in-1 Family Villa!,31069,Average,Modular Family Villa,3.4,Creator 3-in-1
14.0,670,Get behind the wheel of the awesome 3-in-1 Turbo Track Racer!,31070,Average,Turbo Track Racer,4.5,Creator 3-in-1
4.0,422,Enjoy awesome activities at the 3-in-1 Modular Skate House!,31081,Average,Modular Skate House,4.8,Creator 3-in-1
5.0,379,Enjoy seaside fun with the 3-in-1 Sunshine Surfer Van set!,31079,Easy,Sunshine Surfer Van,4.4,Creator 3-in-1
2.0,374,Hit the slopes with the 3-in-1 Modular Winter Vacation set!,31080,Easy,Modular Winter Vacation,3.5,Creator 3-in-1
12.0,285,Launch a satellite with the 3-in-1 Space Shuttle Explorer!,31066,Easy,Space Shuttle Explorer,4.2,Creator 3-in-1
10.0,386,Enjoy eco-friendly adventures with the 3-in-1 Modern Home!,31068,Average,Modular Modern Home,3.8,Creator 3-in-1
8.0,356,Play all day on a 3-in-1 Poolside Holiday!,31067,Average,Modular Poolside Holiday,4.6,Creator 3-in-1
9.0,205,Have fun with the cute 3-in-1 Robo Explorer!,31062,Average,Robo Explorer,4.8,Creator 3-in-1
2.0,241,Blast off from the start line in the 3-in-1 Rocket Rally Car!,31074,Easy,Rocket Rally Car,5.0,Creator 3-in-1
1.0,200,Thrill the crowds with the 3-in-1 Daredevil Stunt Plane set!,31076,Average,Daredevil Stunt Plane,5.0,Creator 3-in-1
1.0,225,Head into the wilds with the 3-in-1 Outback Adventures set!,31075,Easy,Outback Adventures,4.0,Creator 3-in-1
27.0,174,Enjoy roaring adventures with the 3-in-1 Mighty Dinosaurs!,31058,Easy,Mighty Dinosaurs,4.7,Creator 3-in-1
5.0,223,Create a world of scary 3-in-1 Mythical Creatures!,31073,Easy,Mythical Creatures,4.4,Creator 3-in-1
6.0,122,Take an open-top drive in the cool 3-in-1 Green Cruiser!,31056,Easy,Green Cruiser,4.5,Creator 3-in-1
1.0,102,Perform cool maneuvers with the 3-in-1 Air Blazer!,31057,Easy,Air Blazer,4.0,Creator 3-in-1
1.0,109,Be an eye in the sky with the 3-in-1 Drone Explorer!,31071,Average,Drone Explorer,5.0,Creator 3-in-1
8.0,222,Get ready for the ultra-cool 3-in-1 Fast Car!,31046,Average,Fast Car,4.6,Creator 3-in-1
1.0,194,Take the 3-in-1 Sunset Street Bike for high-speed spin!,31059,Average,Sunset Street Bike,5.0,Creator 3-in-1
15.0,528,Meet the wildlife at the brightly lit Lighthouse Point!,31051,Average,Lighthouse Point,4.7,Creator 3-in-1
2.0,359,Fly to warmer climes for 3-in-1 Island Adventures!,31064,Average,Island Adventures,4.5,Creator 3-in-1
9.0,286,Enjoy summer adventures with the 3-in-1 Beach Hut!,31035,Easy,Beach Hut,4.4,Creator 3-in-1
5.0,275,Enjoy the beach life with the 3-in-1 Beachside Vacation!,31063,Average,Beachside Vacation,4.2,Creator 3-in-1
4.0,326,Conquer ice and snow with the 3-in-1 Twin Spin Helicopter!,31049,Average,Twin Spin Helicopter,5.0,Creator 3-in-1
7.0,230,Take a flight in the cool 3-in-1 Propeller Plane!,31047,Average,Propeller Plane,4.9,Creator 3-in-1
2.0,124,Not Available,31043,Easy,Chopper Transporter,5.0,Creator 3-in-1
4.0,132,Airlift vital supplies with the awesome 3-in-1 Cargo Heli!,31029,Average,Cargo Heli,4.8,Creator 3-in-1
43.0,5923,Discover the architectural wonder of the Taj Mahal!,10256,Challenging,Taj Mahal,4.8,Creator Expert
62.0,2480,Discover a place where music is on the menu!,10260,Challenging,Downtown Diner,4.6,Creator Expert
51.0,902,Head home for the holidays with the Winter Village Station!,10259,Average,Winter Village Station,3.8,Creator Expert
99.0,4002,Celebrate ten years of Modular Building with the Assembly Square!,10255,Challenging,Assembly Square,4.8,Creator Expert
64.0,4163,Build the world’s best-known clock tower!,10253,Challenging,Big Ben,4.6,Creator Expert
228.0,4295,Build London's famous Tower Bridge!,10214,Challenging,Tower Bridge,4.8,Creator Expert
53.0,2670,Discover the fairground’s star attraction with the Carousel!,10257,Challenging,Carousel,4.4,Creator Expert
91.0,2464,Experience the wonderful LEGO® Creator Ferris Wheel!,10247,Challenging,Ferris Wheel,4.9,Creator Expert
115.0,2382,Make a safe deposit at the Brick Bank!,10251,Challenging,Brick Bank,4.7,Creator Expert
202.0,2469,Have an unforgettable evening at the amazing Parisian Restaurant!,10243,Challenging,Parisian Restaurant,4.9,Creator Expert
177.0,2262,Discover hidden clues and surprises at the Detective's Office!,10246,Challenging,Detective’s Office,4.6,Creator Expert
53.0,1686,All aboard the London Bus!,10258,Average,London Bus,4.6,Creator Expert
337.0,1334,Road trips will never be the same again with the iconic 1962 Volkswagen T1 Camper Van,10220,Challenging,Volkswagen T1 Camper Van,4.7,Creator Expert
66.0,1167,Head for the beach with the VW Beetle!,10252,Average,Volkswagen Beetle,4.9,Creator Expert
134.0,1077,Take this MINI Cooper for a nostalgic drive down memory lane!,10242,Average,MINI Cooper,4.7,Creator Expert
77.0,734,Climb aboard the magical Winter Holiday Train!,10254,Average,Winter Holiday Train,4.3,Creator Expert
19.0,3444,Dare to enter The Joker™ Manor!,70922,Challenging,The Joker™ Manor,5.0,THE LEGO® BATMAN MOVIE
13.0,955,Unleash the Batmobile from The Flying Fox!,76087,Average,Flying Fox: Batmobile Airlift Attack,3.7,DC Comics™ Super Heroes
6.0,267,"With LEGO® Dimensions™, you're gonna need a bigger imagination!",71171,Average,LEGO® DIMENSIONS™ PLAYSTATION® 4 Starter Pack,4.3,DIMENSIONS™
9.0,643,Launch a space mission from the Batcave!,70923,Average,The Bat-Space Shuttle,4.8,THE LEGO® BATMAN MOVIE
6.0,622,Fight for the Mother Box with Batman’s Knightcrawler!,76086,Average,Knightcrawler Tunnel Attack,5.0,DC Comics™ Super Heroes
5.0,425,Dodge Harley Quinn’s cannonball attacks!,70921,Average,Harley Quinn™ Cannonball Attack,3.2,THE LEGO® BATMAN MOVIE
5.0,406,Power up for battle against the Lex Luthor™ Mech!,76097,Average,Lex Luthor™ Mech Takedown,4.8,DC Comics™ Super Heroes
6.0,271,Pursue Reverse Flash™ and grab the Energy Infuser!,76098,Easy,Speed Force Freeze Pursuit,4.8,DC Comics™ Super Heroes
5.0,267,Party on with Superman™ and friends!,70919,Easy,The Justice League™ Anniversary Party,3.2,THE LEGO® BATMAN MOVIE
11.0,293,Join Batman™ in a comical food fight!,70920,Average,Egghead™ Mech Food Fight,4.7,THE LEGO® BATMAN MOVIE
1.0,151,Swoop in with Batman™ and take on the Joker™!,10753,Easy,The Joker™ Batcave Attack,5.0,Juniors
2.0,198,Bring down Captain Boomerang™ with Batman’s Bat-Dune Buggy!,70918,Not Available,The Bat-Dune Buggy,4.5,THE LEGO® BATMAN MOVIE
9.0,197,Protect the precious Mother Box from the evil Parademon™!,76085,Easy,Battle of Atlantis,4.2,DC Comics™ Super Heroes
1.0,199,Help Superman™ bust out of the Kryptonite prison!,76096,Average,Superman™ & Krypto™ Team-Up,5.0,DC Comics™ Super Heroes
5.0,143,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,Wonder Woman™,5.0,BrickHeadz
