setid,number,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,rating
26869,71017-15,Collectable Minifigures,The LEGO Batman Movie,2017,Zodiac Master,5.0,3.99,https://images.brickset.com/sets/images/71017-20.jpg,5735,464,4.0
26932,30476-1,Creator,Not Available,2017,Happy Turtle,33.0,2.64,https://images.brickset.com/sets/images/30476-1.jpg,1184,516,4.0
27019,41596-1,BrickHeadz,Disney,2017,Beast,116.0,9.99,https://images.brickset.com/sets/images/41596-1.jpg,4414,466,4.0
27145,71018-7,Collectable Minifigures,Series 17,2017,Butterfly Girl,9.0,3.99,https://images.brickset.com/sets/images/71018-7.jpg,4727,553,4.0
27264,71019-5,Collectable Minifigures,The LEGO Ninjago Movie,2017,Garmadon,7.0,3.99,https://images.brickset.com/sets/images/71019-13.jpg,3777,425,4.0
27265,71019-15,Collectable Minifigures,The LEGO Ninjago Movie,2017,Flashback Garmadon,8.0,3.99,https://images.brickset.com/sets/images/71019-14.jpg,3478,393,4.0
27269,71019-8,Collectable Minifigures,The LEGO Ninjago Movie,2017,Cole,5.0,3.99,https://images.brickset.com/sets/images/71019-18.jpg,3904,492,4.0
25906,30277-1,Star Wars,The Force Awakens,2016,First Order Star Destroyer,56.0,4.48,https://images.brickset.com/sets/images/30277-1.jpg,2591,1037,3.8
25921,75157-1,Star Wars,Rebels,2016,Captain Rex's AT-TE,972.0,119.99,https://images.brickset.com/sets/images/75157-1.jpg,4003,2470,4.0
25986,71012-14,Collectable Minifigures,Disney,2016,Syndrome,6.0,3.99,https://images.brickset.com/sets/images/71012-14.jpg,6658,702,4.0
25972,71012-2,Collectable Minifigures,Disney,2016,Alien,3.0,3.99,https://images.brickset.com/sets/images/71012-2.jpg,6655,784,4.0
25662,75824-1,The Angry Birds Movie,Not Available,2016,Pig City Teardown,386.0,39.99,https://images.brickset.com/sets/images/75824-1.jpg,1364,366,4.0
25893,30349-1,City,Traffic,2016,Sports Car,47.0,3.99,https://images.brickset.com/sets/images/30349-1.jpg,3019,632,4.0
25864,75159-1,Star Wars,Ultimate Collector Series,2016,Death Star,4016.0,499.99,https://images.brickset.com/sets/images/75159-1.jpg,3416,5029,4.0
25629,70336-1,Nexo Knights,Ultimate,2016,Ultimate Axl,69.0,9.99,https://images.brickset.com/sets/images/70336-1.jpg,2516,470,4.0
25586,71011-11,Collectable Minifigures,Series 15,2016,Laser Mech,8.0,3.99,https://images.brickset.com/sets/images/71011-11.jpg,5903,861,4.0
