num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
10,101,4.3,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,41587,Very Easy,Robin™,4.8,BrickHeadz,4.9,US
9,99,3.5,Channel Batgirl™ with your own LEGO® BrickHeadz version!,41586,Easy,Batgirl™,4.3,BrickHeadz,4.6,US
,387,,Keep the crooks from escaping with the gold bars!,60175,,Mountain River Heist,,City,,US
35,888,4.7,Move heavy goods across LEGO® City with the Cargo Train!,60052,Average,Cargo Train,4.4,City,3.8,US
45,610,4.4,Get around LEGO® City fast in the High-speed Passenger Train!,60051,Average,High-speed Passenger Train,4.4,City,4,US
1,1250,5,Haul in fresh supplies at the exploration site!,60162,Average,Jungle Air Drop Helicopter,5,City,4,US
3,792,3.3,Sail the high seas and make a thrilling rescue!,60167,Average,Coast Guard Head Quarters,3.7,City,3.3,US
6,813,4.5,Discover the secrets of the jungle with the LEGO® City explorers!,60161,Average,Jungle Exploration Site,4.3,City,4,US
10,894,4.2,Throw the crooks back in jail after they break out!,60141,Easy,Police Station,4.7,City,4,US
1,883,5,Head to the LEGO® City mine and dig up some gold!,60188,,Mining Experts Site,5,City,5,US
16,919,4.5,Jump into action and save the hot dog stand… and lunch!,60110,Average,Fire Station,4.6,City,4.6,US
8,663,4.4,Stop the crooks from breaking their partner out of jail!,60174,Average,Mountain Police Headquarters,4.6,City,4,US
4,740,5,Load up the truck and deliver the goods!,60169,Average,Cargo Terminal,5,City,4.3,US
9,561,3.9,Protect the bank and stop the crooks!,60140,Easy,Bulldozer Break-in,3.3,City,3.6,US
3,426,4.7,Watch your step while you explore new things in the jungle!,60160,Average,Jungle Mobile Lab,5,City,4.7,US
2,303,4.5,Fly in and surprise the crooks at their hideout!,60173,Average,Mountain Arrest,4,City,2.5,US
8,415,4.4,Perform a daring helicopter rescue before the shark gets too close!,60166,Challenging,Heavy-duty Rescue Helicopter,4.4,City,4,US
10,374,3.9,Stop the crooks before they escape from the mobile jail!,60139,Easy,Mobile Command Center,4,City,3.3,US
16,337,3.6,"Hop on, there’s so much to see with the LEGO® City bus!",60154,Easy,Bus Station,3.3,City,2.7,US
1,294,4,Drive in the heavy driller and start digging the cave!,60186,Average,Mining Heavy Driller,5,City,4,US
10,169,4.3,Pack your city with a bunch of new people!,60153,Very Easy,People pack – Fun at the beach,4.1,City,3.6,US
14,294,4.2,Help Chase McCain and the police nab the crook!,60138,Average,High-speed Chase,4.2,City,4.1,US
2,347,4.5,Race to the rescue on land and sea!,60165,Very Easy,4 x 4 Response Unit,5,City,5,US
,297,,Race after the crook and avoid the mountain rockslide!,60172,,Dirt Road Pursuit,,City,,US
5,378,4.8,Defend the mission and dodge a surprise in the jungle!,60159,Easy,Jungle Halftrack Mission,4.8,City,4.6,US
8,257,4.2,Call the Fire Response Unit for help!,60108,Average,Fire Response Unit,3.9,City,3.8,US
7,344,5,"Load up the Pickup & Caravan, it’s time for a vacation!",60182,Easy,Pickup & Caravan,5,City,5,US
7,310,4.4,Haul in the helicopter to handle the heavy lifting!,60183,Easy,Heavy Cargo Transport,4.7,City,4.7,US
11,214,4.5,Put out the burning oil barrel!,60107,Easy,Fire Ladder Truck,4.5,City,4.1,US
4,192,5,Jump the fire and give the crowd a thrilling show!,60180,Average,Monster Truck,5,City,5,US
35,249,4.6,Order a pizza to go!,60150,Easy,Pizza Van,4.9,City,4.8,US
89,24,2.9,Get killer curves in your tracks!,7499,Easy,Flexible and Straight Tracks,2.5,City,2.2,US
12,239,4.7,Gear up for the big race!,60148,Easy,ATV Race Team,4.8,City,4.6,US
6,190,4.2,Transport the mountain snowboarder to the hospital!,60179,Easy,Ambulance Helicopter,3.8,City,4.7,US
7,174,4.3,Load the freshly cut logs with the awesome Forest Tractor!,60181,Easy,Forest Tractor,4.4,City,4.2,US
